user_id,name,screen_name,description,off_name,url.y,cessato,gruppo,url_gruppo,sub_gruppo,sub_gruppo_url
x1346061409273208834,Lucia Albano,luciaalbanofdi,Moglie e madre. Deputata con Fratelli d’Italia. Dottore Commercialista. Docente. E da sempre juventina.,albano lucia,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=308421&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,FRATELLI D'ITALIA,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3052,,
x223249685,Alessandro Amitrano,AleAmitrano,Deputato del MoVimento 5 Stelle. Segretario dell'Ufficio di Presidenza della Camera dei Deputati.,amitrano alessandro,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307206&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
x314471179,Giorgia Andreuzza,GiorgiAndreuzza,"Deputato LEGA - Vicepresidente X Commissione Attività produttive, Commercio, Turismo - Ex Assessore al Turismo Provincia di Venezia - Architetto Interior Design",andreuzza giorgia,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307686&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,LEGA - SALVINI PREMIER,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3055,,
x991688338485760000,Nunzio Angiola,NunzioAngiola,"prof. Ordinario di Economia aziendale UNIFG, Dott. Commercialista dal 1998, Deputato di Azione, Comp. Comm. Finanze, Vicepresidente Comm. Vigilanza su CDP",angiola nunzio,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307294&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MISTO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3033,AZIONE-+EUROPA-RADICALI ITALIANI,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppoMisto&idlegislatura=18&shadow_gruppi_parlamentari=3033&shadow_gruppi_misti=3412&tipoVis=2#misto3412
x1037599816220651520,Stefania Ascari,stefania_ascari,"Deputata #M5S Commissione Giustizia, Segretario della Giunta delle Elezioni | sono di #Modena e mi occupo di immigrazione, violenza di genere, pari opportunità.",ascari stefania,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307302&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
x3053332834,Mirco Badole,mirco_badole,Sindaco del comune di San Gregorio nelle Alpi e deputato Lega Salvini Premier.,badole mirco,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307691&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,LEGA - SALVINI PREMIER,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3055,,
x1108915022,Maria Teresa Baldini,mtbaldini,"medico chirurgo specialista. nazionale italiana basket. Parole d'ordine: identità, salute e legalità. Amo il colore fuxia. Deputato camera Forza Italia",baldini maria teresa,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=308181&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,FORZA ITALIA - BERLUSCONI PRESIDENTE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3053,,
x1040471648,Anna Lisa Baroni,annalisabaroni,"Mamma, Avvocato, Deputato #ForzaItalia-Coordinatore Provinciale Forza Italia #Mantova 🇮🇹-Consigliere Regione Lombardia nella X legislatura",baroni anna lisa,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307655&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,FORZA ITALIA - BERLUSCONI PRESIDENTE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3053,,
x832127966259867648,VALENTINA BARZOTTI,barzottivale,Deputata M5S. Appassionata di temi giuslavoristici e di gestione del personale. Il mio punto di partenza è sempre la persona.,barzotti valentina,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=308001&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
x1146331128900591617,Daniele Belotti,DanieleBelotti1,Deputato Lega_Salvini Premier,belotti daniele,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307605&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,LEGA - SALVINI PREMIER,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3055,,
